course_id,course_title,price,Free/Paid,num_subscribers,num_reviews,num_lectures,level,Rating,content_duration,published_,Year,Month,subject,Revenue
1246208,The Complete Short Course on Ethereum,200,Paid,1041,12,28,Beginner Level,0.97,1.5,11-06-2017,2017,6,Business Finance,208200
707054,Trading Strategies: Find The Trading Strategy That Fits You,20,Paid,1037,3,12,Beginner Level,0.97,2,29-12-2015,2015,12,Business Finance,20740
1022108,"Tax Accounting: Difficult Topic, Made Easy to Understand",200,Paid,1033,10,29,All Levels,0.97,2,11-01-2017,2017,1,Business Finance,206600
1122146,Penny Stocks Value & Chart Pattern Trading (2 Course Bundle),200,Paid,1033,2,31,All Levels,0.97,1.5,22-02-2017,2017,2,Business Finance,206600
297762,Build a Trading Comps Valuation Model,50,Paid,1032,60,55,Beginner Level,0.97,7,01-10-2014,2014,10,Business Finance,51600
1217778,Mastering High Probability Iron Condor Options Trading,200,Paid,1030,11,22,Intermediate Level,0.97,2,01-06-2017,2017,6,Business Finance,206000
717278,How to be a Profitable Forex Trader,20,Paid,1029,13,7,Beginner Level,0.97,0.683333333,04-05-2016,2016,5,Business Finance,20580
889824,61% Profit In 1 Month - Crush Your Forex Trading Paradigm,20,Paid,1027,29,25,Intermediate Level,0.97,1.5,18-07-2016,2016,7,Business Finance,20540
1266306,Forex Trading: Your Complete Guide to Get Started Like a Pro,140,Paid,1026,25,37,All Levels,1,3,27-06-2017,2017,6,Business Finance,143640
1084642,Chart Patterns Trading Demystified,200,Paid,1023,8,29,All Levels,0.89,2.5,08-02-2017,2017,2,Business Finance,204600
41145,Learn Call Options and Put Options - Introduction to Options,60,Paid,1017,74,20,All Levels,0.09,3,15-02-2013,2013,2,Business Finance,61020
188418,Tape Reading: Learn how to read the tape for day trading,195,Paid,1013,128,32,Intermediate Level,0.72,14,27-03-2014,2014,3,Business Finance,197535
799434,"Economics: Competition, Elasticity, a little Game Theory",50,Paid,1008,14,42,Intermediate Level,0.71,6,12-04-2016,2016,4,Business Finance,50400
707644,An Intro into Trading the Financial Markets,100,Paid,1006,14,17,Intermediate Level,0.59,1.5,03-09-2016,2016,9,Business Finance,100600
1079040,Leaps Options Trading System - Diagonal Leaps Options Spread,200,Paid,993,19,16,Beginner Level,0.89,1,19-01-2017,2017,1,Business Finance,198600
1188178,Forex Trading for Beginners - Basics,50,Paid,989,9,11,All Levels,0.1,1,24-04-2017,2017,4,Business Finance,49450
772950,Learn How to Trade The Stock Market,20,Paid,984,3,41,All Levels,0.19,4,02-03-2016,2016,3,Business Finance,19680
745110,MQL5 Tutorial Bootcamp,20,Paid,978,7,13,All Levels,0.88,0.533333333,29-01-2016,2016,1,Business Finance,19560
610890,TRADING PSYCHOLOGY: Trading Mindset Mastery,120,Paid,975,23,23,Beginner Level,0.88,1,30-09-2015,2015,9,Business Finance,117000
876646,Direction-Independ Trading - Elite Forex Traders Strategy,120,Paid,973,15,28,Beginner Level,0.88,2.5,21-06-2016,2016,6,Business Finance,116760
42634,"Advanced Options Concepts - Probability, Greeks, Simulation",60,Paid,968,81,10,All Levels,0.88,2,27-02-2013,2013,2,Business Finance,58080
797762,Corporate Finance 101: Financial Statement Analysis & Ratios,50,Paid,967,16,43,Intermediate Level,0.88,8,20-03-2016,2016,3,Business Finance,48350
1266148,Preparation of Consolidated Financial Statements (Basic),0,Free,965,0,18,All Levels,0.88,1.5,28-06-2017,2017,6,Business Finance,0
398798,Forex: Learn to Trade Forex and FX Consistently,50,Paid,956,4,21,All Levels,0.88,5.5,20-01-2015,2015,1,Business Finance,47800
352782,トレーディングビュー徹底攻略2017年版,55,Paid,952,77,53,Beginner Level,0.88,3,10-12-2014,2014,12,Business Finance,52360
419308,TRADING TACTICS,145,Paid,951,25,62,All Levels,0.88,6,13-02-2015,2015,2,Business Finance,137895
249934,Finance for Non Finance Executives,180,Paid,944,44,187,Beginner Level,0.88,13,25-06-2014,2014,6,Business Finance,169920
1103718,Naked Put Options Trade Covered Call & Poor Man Covered Call,200,Paid,939,7,19,Intermediate Level,0.88,1.5,10-02-2017,2017,2,Business Finance,187800
1171994,A Beginner's Guide to Quantopian Futures API,20,Paid,936,6,11,All Levels,0.88,1.5,11-04-2017,2017,4,Business Finance,18720
1072156,Binary Beginners Mastery Strategy.,0,Free,927,8,14,Beginner Level,0.88,1,02-05-2017,2017,5,Business Finance,0
362530,Public Speaking: You Can Give Great Financial Presentations,20,Paid,916,6,23,Intermediate Level,0.88,6.5,11-12-2014,2014,12,Business Finance,18320
808506,Candlestick Analysis For Professional Traders,95,Paid,913,117,48,Beginner Level,0.88,2,18-05-2016,2016,5,Business Finance,86735
1030976,The Complete Financial Statement Analysis Course,150,Paid,912,12,37,All Levels,0.88,3,11-01-2017,2017,1,Business Finance,136800
507486,Technical Analysis 101: Secrets of Trading Revealed,150,Paid,912,27,81,All Levels,0.11,2.5,16-07-2015,2015,7,Business Finance,136800
