course_id,course_title,price,Free/Paid,num_subscribers,num_reviews,num_lectures,level,Rating,content_duration,published_,Year,Month,subject,Revenue
648118,JavaScript Rockstar How to create Incredible Useful code,75,Paid,16590,51,27,All Levels,0.26,2.5,29-10-2015,2015,10,Web Development,1244250
188692,Build a Responsive Website with a Modern Flat Design,0,Free,16527,354,17,All Levels,0.68,2,26-03-2014,2014,3,Web Development,0
50522,Become Exceptional in HTML and HTML5,20,Paid,16486,86,34,Beginner Level,0.24,6.5,21-03-2014,2014,3,Web Development,329720
874166,Angular 2 Crash Course with TypeScript,100,Paid,16409,589,74,Intermediate Level,0.71,4,14-06-2016,2016,6,Web Development,1640900
993754,Django Core | A Reference Guide to Core Django Concepts,195,Paid,16282,303,159,Beginner Level,0.35,18.5,29-10-2016,2016,10,Web Development,3174990
64422,1 Hour HTML,200,Paid,16212,514,20,Beginner Level,0.34,1,09-07-2013,2013,7,Web Development,3242400
1171966,The Complete PHP MySQL Professional Course with 5 Projects,200,Paid,16158,159,125,All Levels,0.71,19.5,07-06-2017,2017,6,Web Development,3231600
556922,Learn Ruby on Rails: Stripe Payment Processing,40,Paid,15724,33,29,Beginner Level,0.44,1.5,02-11-2016,2016,11,Web Development,628960
364616,Learn how to quickly build websites using Wordpress,0,Free,15715,406,28,All Levels,0.12,3.5,18-12-2014,2014,12,Web Development,0
212374,Introduction to CSS Development,0,Free,15493,415,25,All Levels,0.56,2,18-08-2014,2014,8,Web Development,0
340844,Learn HTML & CSS: How To Start Your Web Development Career,0,Free,15462,689,60,Beginner Level,0.88,4.5,29-09-2015,2015,9,Web Development,0
1146014,Learn JavaScript for beginners,200,Paid,15276,167,19,All Levels,0.58,1.5,16-03-2017,2017,3,Web Development,3055200
23742,Servlets and JSPs Tutorial: Learn Web Applications With Java,35,Paid,15187,970,64,All Levels,0.12,10,10-09-2012,2012,9,Web Development,531545
128950,Learn to Build Websites using Twitter Bootstrap,0,Free,15134,523,12,Beginner Level,0.8,2.5,14-04-2014,2014,4,Web Development,0
654680,JavaScript Tricks how to create code projects from scratch,75,Paid,15106,31,16,Beginner Level,0.47,1.5,29-10-2015,2015,10,Web Development,1132950
309820,ASP.Net MVC Quick Start,0,Free,15092,1234,65,All Levels,0.73,5.5,23-08-2016,2016,8,Web Development,0
283014,HTML 5: How I made websites in HTML5,135,Paid,15064,237,15,All Levels,0.5,1.5,23-10-2014,2014,10,Web Development,2033640
